City,Street,Community,FinalPrice,Period_of_Transaction,Number_of_Bedrooms,Number_of_Livlingrooms,Number_of_Kitchens,Number_of_Bathrooms,Heading,Listing_Price,Year_of_Construction,Area,Price_per_squaremeter,Elevator,Floorlevel,Decoration
Hangzhou,Xiongzhenlou,Chennanjiayuan,1.88,32,1,1,1,1,South   ,2.05,2003,47.36㎡          ,39696,Yes           ,High      ,Mediocre     
Hangzhou,Xiongzhenlou,Beiluomayin,1.85,142,2,1,1,1,South   ,2,1989,46.85㎡          ,39488,No           ,Mid           ,Mediocre     
Hangzhou,Xiongzhenlou,Nanwafang,2.5,2,3,1,1,1,South   ,2.7,2000,54.63㎡          ,45763,No           ,High           ,Mediocre     
Hangzhou,Xiongzhenlou,Jinduhuafu,7,88,3,2,1,2,South   ,7.6,2007,138㎡          ,50725,Yes           ,Mid          ,Mediocre     
Hangzhou,Xiongzhenlou,Nanwafang,2.15,103,2,1,1,1,South   ,2.3,2000,45.79㎡          ,46954,No           ,High           ,Fine     
Hangzhou,Xiongzhenlou,Taipingxiang,1.9,400,2,1,1,1,South   ,2.8,2000,56.79㎡          ,33457,No           ,Low           ,Fine     
Hangzhou,Xiongzhenlou,Chennanjiayuan,2.58,141,2,1,1,1,South   ,2.65,2003,62.95㎡          ,40985,Yes           ,High        ,Fine     
Hangzhou,Xiongzhenlou,Chennanjiayuan,1.75,70,1,1,1,1,South  ,1.78,2003,43.7㎡          ,40046,Yes           ,High        ,Fine     
Hangzhou,Xiongzhenlou,Xingongxincun,2.68,14,2,1,1,1,South   ,2.8,1989,56.5㎡          ,47434,No           ,Mid           ,Mediocre     
Hangzhou,Xiongzhenlou,Xingongxincun,2.4,48,2,1,1,1,West   ,2.5,1989,51.08㎡          ,46986,No           ,Mid           ,Mediocre     
Hangzhou,Xiongzhenlou,Xingongxincun,1.8,16,2,1,1,1,South   ,2.7,1988,61.58㎡          ,29231,No           ,Mid           ,Mediocre     
Hangzhou,Xiongzhenlou,Chennanjiayuan,3.07,211,2,1,1,1,South,3.2,2003,73.93㎡          ,41526,No           ,High           ,Mediocre     
Hangzhou,Wangjiang,Wangjiangxinyuaneryuan,3.19,67,2,1,1,1,South   ,3.3,2010,83.54㎡          ,38186,Yes           ,Mid           ,Mediocre     
Hangzhou,Wangjiang,Wangjiangxinyuansanyuan,2.18,24,1,1,1,1,South   ,2.2,2009,48.16㎡          ,45266,Yes           ,Mid           ,Mediocre     
Hangzhou,Sijiqing,Jindushijia,4,470,3,2,1,2,South  ,5.1,2008,109.83㎡          ,36420,Yes           ,Mid         ,Mediocre     
Hangzhou,Sijiqing,Qinjianghuayuan,4.06,40,3,1,1,1,South   ,4.074,2000,84.87㎡          ,47838,No           ,Low       ,Mediocre     
Hangzhou,Sijiqing,Qintainanyuan,1.2,15,1,1,1,1,South   ,1.85,2004,35.61㎡          ,33699,No           ,Low       ,Mediocre     
Hangzhou,Sijiqing,Ganwangxincun,1.935,17,1,1,1,1,South   ,1.95,1985,38.58㎡          ,50156,No           ,Mid        ,Mediocre     
Hangzhou,Qingtai,Pishixiang,1.4,38,1,1,1,1,East   ,1.46,2000,31.26㎡          ,44786,No           ,High         ,Fine     
Hangzhou,Qingtai,Mashijie,1.4,8,2,1,1,1,East   ,1.55,1994,41.82㎡          ,33477,Yes           ,Mid         ,Mediocre     
Hangzhou,Qingtai,Nanbanxiang,1.25,105,1,0,1,1,South   ,1.37,1994,29.35㎡          ,42590,No           ,High           ,Mediocre     
Hangzhou,Qingtai,Mashijie,2.02,51,3,1,1,1,South  ,2.05,1993,44.61㎡          ,45282,No           ,High           ,Mediocre     
Hangzhou,Qingtai,Pishixiang,1.4,20,1,0,1,1,South   ,1.4,2000,29.72㎡          ,47107,No           ,High           ,Mediocre     
Hangzhou,Qingtai,Mashijie,2.18,111,3,1,1,1,West ,2.2,1994,59.65㎡          ,36547,No           ,High           ,Mediocre     
Hangzhou,Qingtai,Fengjiadou,1.335,66,1,1,1,1,East   ,1.4,1999,33.71㎡          ,39603,Yes           ,High           ,Mediocre     
Hangzhou,Qingtai,Qinyinjie,2,37,1,2,1,1,South   ,2.38,1987,49.01㎡          ,40808,No           ,Low           ,Fine     
Hangzhou,Qingtai,Pishixiang,2.58,178,2,1,1,1,East   ,2.58,2000,59.58㎡          ,43304,No           ,Mid           ,Mediocre     
Hangzhou,Qingtai,Zijinguanxiang,3.65,40,3,1,1,1,South   ,3.75,1991,81.79㎡          ,44627,No           ,High           ,Mediocre     
Hangzhou,Qingtai,Pishixiang,1.83,16,2,1,1,1,East   ,2.1,1988,44㎡          ,41591,No           ,Mid           ,Fine     
Hangzhou,Qingtai,Pishixiang,1.36,23,1,1,1,1,East   ,1.45,1986,33.24㎡          ,40915,No           ,Low           ,Fine     
Hangzhou,Qingtai,Huangcuyuan,1.71,203,2,0,1,1,South ,1.808,1999,39.31㎡          ,43501,No           ,Mid           ,Fine     
Hangzhou,Qingtai,Pishixiang,3.4,65,3,1,1,1,South   ,3.68,1988,76.8㎡          ,44271,No           ,Mid           ,Mediocre     
Hangzhou,Qingtai,Wulongxiang,2.65,127,2,1,1,1,South   ,2.7,1988,69.74㎡          ,37999,No           ,High           ,Mediocre     
Hangzhou,Qingtai,Wulongxiang,2.15,35,1,1,1,1,South   ,2.15,1989,46.31㎡          ,46427,No           ,Mid           ,Fine     
Hangzhou,Qingtai,Wananchengshihuayuanxiyuan,6.5,64,4,2,1,2,South   ,7.18,2000,152.88㎡          ,42518,Yes           ,Mid           ,Fine     
Hangzhou,Qingtai,Pishixiang,4.05,82,3,2,1,1,South   ,4.2,2005,104.9㎡          ,38609,No           ,High           ,Fine     
Hangzhou,Qingbo,Houshijie,1.63,19,1,1,1,1,South   ,1.65,1992,31.02㎡          ,52547,No           ,Low     ,Mediocre     
Hangzhou,Qingbo,Huoyaojunong,1.8,37,2,1,1,1,South,2.25,1988,43.27㎡          ,41600,No           ,Low           ,Mediocre     
Hangzhou,Qingbo,Houshijie,3.17,212,3,1,1,1,South,3.2,1997,67.23㎡          ,47152,No           ,Mid           ,Mediocre     
Hangzhou,Qingbo,Houshijie,3.46,20,3,1,1,1,South   ,3.6,1992,69.62㎡          ,49699,No           ,Mid           ,Mediocre     
Hangzhou,Qingbo,Siyilu,2.6,14,2,1,1,1,East   ,2.66,1998,46.1㎡          ,56400,No           ,High           ,Mediocre     
Hangzhou,Qingbo,Huiminglu,2.75,212,3,1,1,1,East    ,2.85,1985,65.01㎡          ,42302,No           ,High           ,Mediocre     
Hangzhou,Qingbo,Liulangdongyuan,4.8,205,2,1,1,1,South   ,5.8,2011,60.14㎡          ,79814,Yes           ,Mid           ,Fine     
Hangzhou,Qingbo,Zhongshanyuan,2.04,14,1,1,1,1,West,2.1,2001,48.67㎡          ,41915,Yes           ,High       ,Mediocre     
Hangzhou,Qingbo,Liulangxinyuan,2.05,105,1,1,1,1,South   ,2.18,1998,34.06㎡          ,60188,No           ,Low           ,Mediocre     
Hangzhou,Qingbo,Houshijie,2.5,19,2,1,1,1,South   ,3.1,1994,59.95㎡          ,41702,No           ,Mid           ,Mediocre     
Hangzhou,Qingbo,Houshijie,1.47,313,1,0,1,1,South,1.6,1992,30.98㎡          ,47450,No           ,High           ,Mediocre     
Hangzhou,Qingbo,Zhongshanyuan,1.59,44,1,1,1,1,South  ,1.7,2001,40.38㎡          ,39376,Yes           ,High         ,Mediocre     
Hangzhou,Qingbo,Houshijie,1.61,28,1,1,1,1,South   ,1.65,1997,37.73㎡          ,42672,No           ,Low           ,Mediocre     
Hangzhou,Qingbo,Huoyaojunong,1.65,108,1,1,1,1,South   ,1.7,1988,35.65㎡          ,46284,No           ,Mid           ,Mediocre     
Hangzhou,Qingbo,Xifuju,3.05,42,2,1,1,1,South   ,3.15,2000,58.01㎡          ,52578,Yes           ,Mid           ,Fine     
Hangzhou,Nanxing,Chunjianghuayue,3.02,48,1,1,1,1,EastSouth   ,4.06,2005,67.75㎡          ,44576,Yes           ,Mid        ,Mediocre     
Hangzhou,Nanxing,Fenghuangchengguangchang,1.5,52,2,1,1,1,Southwest   ,2,2008,73.23㎡          ,20484,Yes           ,Mid     ,Mediocre     
Hangzhou,Nanxing,Fenghuangnanyuan,2.05,14,1,1,1,1,Southeast   ,2.15,2004,42.92㎡          ,47764,Yes           ,Low           ,Mediocre     
Hangzhou,Nanxing,Fenghuangnanyuan,2.925,59,2,1,1,1,South   ,2.98,2004,59.72㎡          ,48979,Yes           ,Low         ,Mediocre     
Hangzhou,Nanxing,Fenghuangnanyuan,2,190,1,1,1,1,South   ,2.4,2004,53.22㎡          ,37580,Yes           ,High         ,Mediocre     
Hangzhou,Nanxing,Kuangduzixuan,5,50,2,1,1,1,South   ,6,2011,89㎡          ,56180,Yes           ,Mid        ,Mediocre     
Hangzhou,Nanxing,Taiheguangchang,7.3,11,3,2,1,2,South   ,7.3,2010,156㎡          ,46795,Yes           ,Mid           ,Mediocre     
Hangzhou,Nanxing,Qiutaonanyuan,2,85,1,1,1,1,South   ,2.05,1996,32.02㎡          ,62461,No           ,Mid           ,Mediocre     
Hangzhou,Nanxing,Lvchenglanseqianjiang,1.767,426,1,1,1,1,South   ,2.2,2012,53.74㎡          ,32881,Yes           ,Low           ,Fine     
Hangzhou,Nanxing,Chunjianghuayue,7.5,105,3,2,1,2,South   ,11,2006,164.43㎡          ,45613,Yes           ,Mid           ,Fine     
Hangzhou,Nanxing,Qiutaonanyuan,2.7,85,2,1,1,1,South   ,2.86,1996,56.1㎡          ,48129,No           ,High           ,Mediocre     
Hangzhou,Nanxing,Binjiangqiantangyinxiang,10,163,4,2,1,3,South   ,17.2,2016,221.56㎡          ,45135,Yes           ,Mid           ,Fine     
Hangzhou,Nanxing,Fenghuangbeiyuan,4,32,3,1,1,1,South   ,4.2,1999,78.49㎡          ,50962,No           ,Low           ,Mediocre     
Hangzhou,Nanxing,Chunjianghuayue,6.5,60,3,2,1,2,South   ,9.2,2006,165.59㎡          ,39254,Yes           ,Mid           ,Mediocre     
Hangzhou,Nanxing,Qiutaonanyuan,1.7,70,1,1,1,1,South   ,1.75,1996,34.97㎡          ,48614,No           ,High           ,Mediocre     
Hangzhou,Nanxing,Fenghuangchengguangchang,2,238,2,2,1,1,South   ,2.9,2008,104㎡          ,19231,Yes           ,Mid           ,Mediocre     
